Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2016-06-23,122.5,124.15,121.65,123.85,122.87,1015636.0,6326.0,124791065.0,179030.0,17.63,2.5,1.35
2016-06-22,123.5,123.9,120.05,122.0,121.52,1162332.0,5777.0,141241286.0,117153.0,10.08,3.85,-1.5
2016-06-21,122.5,124.6,121.7,123.25,123.33,1174172.0,6444.0,144807289.0,207492.0,17.67,2.9,0.75
2016-06-20,117.5,121.35,117.0,121.1,120.05,828040.0,5382.0,99410157.0,194749.0,23.52,4.35,3.6
2016-06-17,119.7,120.2,118.0,118.5,118.78,980331.0,4324.0,116442947.0,211724.0,21.6,2.2,-1.2
2016-06-16,115.05,119.2,114.3,118.8,117.35,1636366.0,8883.0,192027322.0,230808.0,14.1,4.9,3.75
2016-06-15,116.0,116.65,114.2,115.7,115.51,768360.0,5012.0,88752842.0,138174.0,17.98,2.45,-0.3
2016-06-14,115.2,115.8,114.1,115.4,115.01,595376.0,3358.0,68476157.0,123424.0,20.73,1.7,0.2
2016-06-13,113.5,115.6,111.3,114.6,113.27,1137896.0,6447.0,128884940.0,171139.0,15.04,4.3,1.1
2016-06-10,110.05,115.8,110.0,115.2,114.02,2191023.0,11684.0,249831073.0,454693.0,20.75,5.8,5.15
2016-06-09,108.5,112.6,108.5,110.9,111.13,1433132.0,7573.0,159263202.0,345720.0,24.12,4.1,2.4
2016-06-08,109.8,110.45,108.1,109.2,109.07,1060967.0,5135.0,115718823.0,103343.0,9.74,2.35,-0.6
2016-06-07,107.05,110.1,107.05,109.3,108.91,1597266.0,8250.0,173963531.0,303878.0,19.02,3.05,2.25
2016-06-06,105.05,108.0,104.5,106.85,106.75,1012611.0,5223.0,108096959.0,192029.0,18.96,3.5,1.8
2016-06-03,106.5,107.05,104.1,105.45,105.39,1237201.0,4578.0,130391159.0,235991.0,19.07,2.95,-1.05
2016-06-02,102.95,106.15,102.15,105.85,105.0,1430673.0,6760.0,150216013.0,232221.0,16.23,4.0,2.9
2016-06-01,105.35,105.8,102.5,103.05,103.9,1752270.0,6855.0,182067300.0,345985.0,19.74,3.3,-2.3
2016-05-31,103.5,107.55,102.5,105.15,105.36,3808575.0,17240.0,401277100.0,517897.0,13.6,5.05,1.65
2016-05-30,99.8,103.5,98.25,102.9,101.56,5144908.0,25779.0,522533925.0,1105561.0,21.49,5.25,3.1
2016-05-27,91.15,92.7,90.85,91.85,91.85,1156418.0,5302.0,106213569.0,261048.0,22.57,1.85,0.7
2016-05-26,89.2,90.65,87.7,90.3,89.14,1146661.0,5286.0,102208124.0,200643.0,17.5,2.95,1.1
